"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.Time"
"6415","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:34:00"
"6416","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:34:00"
"6417","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:36:00"
"6418","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:37:00"
"6419","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:40:00"
"6420","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:43:00"
"6421","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:43:00"
"6422","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:47:00"
"6423","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:50:00"
"6424","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:51:00"
"6425","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:51:00"
"6426","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:53:00"
"6427","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 01:53:00"
"6428","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 01:58:00"
"6429","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:00:00"
"6430","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:00:00"
"6431","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:02:00"
"6432","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:02:00"
"6433","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:06:00"
"6434","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:09:00"
"6435","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:11:00"
"6436","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:11:00"
"6437","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:13:00"
"6438","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:17:00"
"6439","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:19:00"
"6440","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:21:00"
"6441","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:23:00"
"6442","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:27:00"
"6443","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:27:00"
"6444","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:29:00"
"6445","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:30:00"
"6446","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:31:00"
"6447","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:33:00"
"6448","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:33:00"
"6449","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:35:00"
"6450","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:35:00"
"6451","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:37:00"
"6452","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:39:00"
"6453","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:41:00"
"6454","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:42:00"
"6455","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:43:00"
"6456","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 02:45:00"
"6457","aquaHub-660298","9001-52036","Male",161,2025-09-20,"2025-09-20 02:45:00"
"6458","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:45:00"
"6459","aquaHub-660273","9001-43289","Male",171,2025-09-20,"2025-09-20 02:47:00"
"6460","aquaHub-660298","9001-52039","Male",170,2025-09-20,"2025-09-20 02:47:00"
